resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24739,1036,839,4,31,15,13,13,13,0,65,\N,\N,65,10,01:22.2,203.933,11
24751,1037,839,4,31,6,5,5,5,10,44,40.65,5089411,44,10,01:48.5,232.305,1
24774,1038,839,4,31,12,8,8,8,4,53,18.691,6444747,52,11,01:24.5,246.831,1
24800,1039,839,4,31,10,\N,R,14,0,7,\N,\N,6,15,02:11.8,143.27,23
24813,1040,839,4,31,7,7,7,7,6,53,+1:08.006,5708370,48,13,01:39.2,212.191,1
24844,1041,839,4,31,7,\N,R,18,0,22,\N,\N,21,19,01:33.2,198.873,6
24854,1042,839,4,31,11,8,8,8,4,65,\N,\N,61,12,01:20.9,207.16,11
24885,1043,839,4,31,12,\N,R,19,0,27,\N,\N,22,19,01:19.6,221.998,6
24897,1044,839,4,31,7,11,11,11,0,57,\N,\N,55,16,01:41.0,190.254,11
24915,1045,839,4,31,7,9,9,9,2,57,22.803,10810318,37,13,01:34.4,206.49,1
24928,1046,839,4,31,11,2,2,2,18,87,10.518,5485632,75,12,00:57.3,222.402,1
24955,1047,839,4,31,10,9,9,9,2,55,+1:41.069,5799996,47,18,01:42.9,194.32,1
24644,1031,840,211,18,9,\N,R,18,0,20,\N,\N,4,18,01:10.3,221.039,5
24653,1032,840,211,18,12,7,7,7,6,71,+1:02.453,5033136,65,10,01:07.8,229.162,1
24670,1033,840,211,18,3,4,4,4,12,70,57.579,5830052,68,3,01:19.0,199.708,1
24695,1034,840,211,18,6,9,9,9,2,52,37.311,5318594,44,13,01:30.5,234.402,1
24712,1035,840,211,18,6,6,6,6,8,52,42.538,4824531,45,15,01:30.9,233.365,1
24730,1036,840,211,18,5,4,4,4,12,65,\N,\N,56,8,01:22.0,204.306,11
24755,1037,840,211,18,9,9,9,9,2,44,52.603,5101364,34,13,01:49.1,231.036,1
24769,1038,840,211,18,8,3,3,3,15,53,3.358,6429414,42,3,01:23.9,248.576,1
24799,1039,840,211,18,6,\N,R,13,0,42,\N,\N,42,12,01:22.1,230.077,29
24826,1040,840,211,18,12,\N,R,20,0,0,\N,\N,40,0,\N,\N,4
24866,1042,840,211,18,12,\N,R,20,0,51,\N,\N,45,18,01:21.7,205.043,130
24879,1043,840,211,18,15,13,13,13,0,63,29.163,5341593,46,13,01:18.4,225.528,1
24895,1044,840,211,18,1,9,9,9,2,58,+1:12.353,6211666,55,10,01:39.9,192.319,1
24925,1045,840,211,18,13,\N,R,19,0,2,\N,\N,40,0,\N,\N,4
24929,1046,840,211,18,10,3,3,3,15,87,11.869,5486983,85,14,00:57.4,222.255,1
24956,1047,840,211,18,8,10,10,10,1,55,+1:42.738,5790314,41,9,01:41.9,196.281,1
24635,1031,841,51,99,18,9,9,9,2,71,21.146,5476885,70,9,01:08.8,225.954,1
24660,1032,841,51,99,19,14,14,14,0,70,\N,\N,54,15,01:08.5,226.891,11
24683,1033,841,51,99,19,17,17,17,0,69,\N,\N,44,11,01:20.1,196.908,11
24700,1034,841,51,99,15,14,14,14,0,52,54.205,5335488,49,17,01:31.0,233.109,1
24723,1035,841,51,99,19,17,17,17,0,51,\N,\N,37,19,01:31.8,230.954,11
24742,1036,841,51,99,20,16,16,16,0,65,\N,\N,47,6,01:21.8,204.863,11
24764,1037,841,51,99,18,\N,R,18,0,9,\N,\N,9,19,01:51.8,225.545,3
24782,1038,841,51,99,18,16,16,16,0,53,55.199,6481255,43,14,01:24.9,245.766,1
24803,1039,841,51,99,17,\N,R,17,0,5,\N,\N,4,16,02:13.8,141.111,4
24817,1040,841,51,99,17,11,11,11,0,52,\N,\N,44,16,01:39.8,211.021,11
24836,1041,841,51,99,14,10,10,10,1,60,40.035,5789676,38,12,01:30.9,203.861,1
24861,1042,841,51,99,17,15,15,15,0,65,\N,\N,46,20,01:21.9,204.544,11
24876,1043,841,51,99,20,10,10,10,1,63,26.398,5338828,61,15,01:18.8,224.286,1
24906,1044,841,51,99,10,\N,R,20,0,11,\N,\N,11,20,01:51.1,172.934,6
24922,1045,841,51,99,16,16,16,16,0,56,\N,\N,22,14,01:34.5,206.092,11
24939,1046,841,51,99,14,13,13,13,0,87,24.111,5499225,56,4,00:56.9,224.212,1
24962,1047,841,51,99,14,16,16,16,0,54,\N,\N,29,7,01:41.7,196.65,11
24633,1031,842,213,10,12,7,7,7,6,71,16.682,5472421,64,11,01:09.0,225.205,1
24661,1032,842,213,10,7,15,15,15,0,70,\N,\N,69,8,01:07.8,229.183,11
24686,1033,842,213,10,10,\N,R,20,0,15,\N,\N,10,20,01:23.9,187.893,5
24693,1034,842,213,10,11,7,7,7,6,52,31.188,5312471,52,7,01:29.6,236.684,1
24717,1035,842,213,10,7,11,11,11,0,52,+1:10.642,4852635,52,7,01:30.1,235.399,1
24735,1036,842,213,10,10,9,9,9,2,65,\N,\N,44,17,01:22.5,203.021,11
24754,1037,842,213,10,12,8,8,8,4,44,47.371,5096132,29,3,01:47.8,233.815,1
24767,1038,842,213,10,10,1,1,1,25,53,47:06.1,6426056,34,6,01:24.0,248.162,1
24806,1039,842,213,10,16,\N,R,20,0,0,\N,\N,40,0,\N,\N,4
24815,1040,842,213,10,9,9,9,9,2,53,+1:29.766,5730130,50,2,01:37.2,216.523,1
24832,1041,842,213,10,12,6,6,6,8,60,22.766,5772407,53,5,01:30.1,205.668,1
24851,1042,842,213,10,9,5,5,5,10,65,\N,\N,65,9,01:20.6,207.952,11
